NN_N100_3_0001Freq_Towd,NN_N100_3_0001AmpV_Towd,NN_N100_3_0001Phase_Towd,NN_N100_3_0003Freq_Towd,NN_N100_3_0003AmpV_Towd,NN_N100_3_0003Phase_Towd,NN_N100_3_0005Freq_Towd,NN_N100_3_0005AmpV_Towd,NN_N100_3_0005Phase_Towd,NN_N100_3_0007Freq_Towd,NN_N100_3_0007AmpV_Towd,NN_N100_3_0007Phase_Towd,NN_N100_3_0009Freq_Towd,NN_N100_3_0009AmpV_Towd,NN_N100_3_0009Phase_Towd,NN_N100_3_0011Freq_Towd,NN_N100_3_0011AmpV_Towd,NN_N100_3_0011Phase_Towd,NN_N100_3_0013Freq_Towd,NN_N100_3_0013AmpV_Towd,NN_N100_3_0013Phase_Towd,NN_N100_3_0015Freq_Towd,NN_N100_3_0015AmpV_Towd,NN_N100_3_0015Phase_Towd,NN_N100_3_0017Freq_Towd,NN_N100_3_0017AmpV_Towd,NN_N100_3_0017Phase_Towd,NN_N100_3_0019Freq_Towd,NN_N100_3_0019AmpV_Towd,NN_N100_3_0019Phase_Towd,NN_N100_3_0021Freq_Towd,NN_N100_3_0021AmpV_Towd,NN_N100_3_0021Phase_Towd,NN_N100_3_0023Freq_Towd,NN_N100_3_0023AmpV_Towd,NN_N100_3_0023Phase_Towd,NN_N100_3_0025Freq_Towd,NN_N100_3_0025AmpV_Towd,NN_N100_3_0025Phase_Towd,NN_N100_3_0027Freq_Towd,NN_N100_3_0027AmpV_Towd,NN_N100_3_0027Phase_Towd,NN_N100_3_0029Freq_Towd,NN_N100_3_0029AmpV_Towd,NN_N100_3_0029Phase_Towd,NN_N100_3_0031Freq_Towd,NN_N100_3_0031AmpV_Towd,NN_N100_3_0031Phase_Towd,NN_N100_3_0033Freq_Towd,NN_N100_3_0033AmpV_Towd,NN_N100_3_0033Phase_Towd
100,0.0244558,228.196,100,0.037663,123.375,100,0.0443232,133.208,100,0.0327611,113.052,100,0.0185013,98.6263,100,0.0532579,171.096,100,0.0396442,125.565,100,0.0411129,126.942,100,0.0315809,114.61,100,0.0470316,137.461,100,0.0423455,201.627,100,0.054661,172.96,100,0.00845909,86.7306,100,0.0166547,237.057,100,0.00305653,79.2891,100,0.0480127,141.476,100,0.0113082,244.416
300.321,0.0616252,159.889,300.321,0.0753474,226.75,300.321,0.06567,235.657,300.321,0.0807059,217.716,300.321,0.0877976,203.846,300.321,0.0189495,253.907,300.321,0.0718379,228.845,300.321,0.0730181,230.242,300.321,0.0818002,218.788,300.321,0.0618839,239.095,300.321,0.0270641,144.515,300.321,0.0168562,253.735,300.321,0.0846696,192.966,300.321,0.0698709,166.81,300.321,0.0831771,186.355,300.321,0.0584841,242.432,300.321,0.0785601,173.422
500.641,0.0913763,238.45,500.641,0.113275,264.547,500.641,0.105745,267.917,500.641,0.117553,260.562,500.641,0.120322,254.242,500.641,0.0746822,267.103,500.641,0.111382,265.235,500.641,0.11171,265.911,500.641,0.117619,261.196,500.641,0.103172,268.959,500.641,0.0704157,246.143,500.641,0.0743449,265.688,500.641,0.117188,248.878,500.641,0.0993133,239.447,500.641,0.114739,245.913,500.641,0.100759,-89.7736,500.641,0.107547,241.272
700.962,0.0792885,-76.042,700.962,0.0743246,-72.5572,700.962,0.0734091,-73.2187,700.962,0.0750434,-72.2623,700.962,0.0774539,-72.6263,700.962,0.0738335,-76.5535,700.962,0.0739598,-72.2566,700.962,0.0745666,-72.6801,700.962,0.0756192,-71.8487,700.962,0.0735331,-73.2616,700.962,0.0766444,-77.4923,700.962,0.0739396,-76.3367,700.962,0.0791097,-72.697,700.962,0.0807416,-75.169,700.962,0.0796652,-73.1439,700.962,0.073123,-73.7142,700.962,0.0808358,-74.4881
901.282,0.0691283,-61.2537,901.282,0.0659156,-61.1701,901.282,0.0661528,-61.743,901.282,0.0660515,-61.1611,901.282,0.0664246,-60.6452,901.282,0.0670969,-62.535,901.282,0.065341,-61.5273,901.282,0.0655639,-61.7311,901.282,0.0659633,-61.1488,901.282,0.0660694,-62.109,901.282,0.0691378,-61.5393,901.282,0.0675261,-62.7195,901.282,0.0670493,-60.68,901.282,0.0682211,-61.0226,901.282,0.0680554,-60.1389,901.282,0.0663269,-62.0531,901.282,0.0692153,-60.7019
1101.6,0.0611115,-53.9724,1101.6,0.0593734,-53.668,1101.6,0.0587142,-54.1986,1101.6,0.0594711,-53.6875,1101.6,0.0595975,-53.2676,1101.6,0.0594759,-54.799,1101.6,0.0588453,-54.1285,1101.6,0.0591063,-53.8699,1101.6,0.0596201,-53.6755,1101.6,0.0591338,-53.8026,1101.6,0.0607347,-54.6351,1101.6,0.0600827,-54.4505,1101.6,0.0598252,-53.6922,1101.6,0.0606668,-53.9741,1101.6,0.0604606,-53.26,1101.6,0.0590515,-54.3489,1101.6,0.0607979,-53.7713
1301.92,0.0540841,-49.7742,1301.92,0.0543833,-49.0782,1301.92,0.0542367,-48.9729,1301.92,0.0542974,-48.9727,1301.92,0.0547004,-49.0208,1301.92,0.0536156,-49.3694,1301.92,0.0539649,-49.0767,1301.92,0.0543046,-49.0805,1301.92,0.054915,-49.273,1301.92,0.054276,-48.6999,1301.92,0.0542831,-49.5284,1301.92,0.0539565,-49.0271,1301.92,0.054611,-49.3099,1301.92,0.0547695,-49.6978,1301.92,0.0548995,-49.7511,1301.92,0.0540471,-48.8977,1301.92,0.0548494,-49.735
1502.24,0.0494421,-45.4365,1502.24,0.0496125,-46.3796,1502.24,0.0498021,-46.0983,1502.24,0.0498438,-45.5747,1502.24,0.0496638,-45.9368,1502.24,0.0498319,-45.9819,1502.24,0.0495076,-45.9048,1502.24,0.0499749,-46.107,1502.24,0.049901,-46.333,1502.24,0.0500691,-45.8918,1502.24,0.0500786,-45.4262,1502.24,0.0499797,-45.5107,1502.24,0.049938,-46.1406,1502.24,0.0495291,-45.5444,1502.24,0.049994,-45.896,1502.24,0.0499642,-45.8301,1502.24,0.0501049,-46.0534
1702.56,0.0464761,-43.2489,1702.56,0.0464559,-43.133,1702.56,0.0459087,-42.8456,1702.56,0.0465417,-43.1179,1702.56,0.0468087,-43.1668,1702.56,0.0461006,-42.9403,1702.56,0.0463331,-43.2173,1702.56,0.0468087,-43.1564,1702.56,0.046562,-43.0743,1702.56,0.0465786,-42.8673,1702.56,0.0459826,-43.5941,1702.56,0.0462997,-43.3034,1702.56,0.0464666,-43.2288,1702.56,0.0467002,-43.5673,1702.56,0.0470626,-43.3013,1702.56,0.0464952,-42.7993,1702.56,0.0471961,-43.6037
1902.88,0.0439572,-40.7912,1902.88,0.0435245,-40.9296,1902.88,0.0434637,-41.1236,1902.88,0.0434339,-41.1008,1902.88,0.0434768,-41.0149,1902.88,0.0435197,-41.0878,1902.88,0.0434399,-40.5741,1902.88,0.0436985,-41.1267,1902.88,0.0435102,-41.2971,1902.88,0.0433028,-40.9978,1902.88,0.0435627,-41.0862,1902.88,0.0435174,-41.2382,1902.88,0.0433815,-41.3706,1902.88,0.0436461,-40.7101,1902.88,0.0436199,-41.0743,1902.88,0.0436747,-41.245,1902.88,0.0442755,-41.2667
2103.21,0.0413346,-39.5279,2103.21,0.0411177,-39.2506,2103.21,0.0409222,-39.4842,2103.21,0.041225,-39.0379,2103.21,0.0411725,-38.8878,2103.21,0.0410569,-39.3438,2103.21,0.0408423,-38.7624,2103.21,0.0410628,-39.3523,2103.21,0.0411201,-39.1544,2103.21,0.0408471,-39.0773,2103.21,0.0409806,-39.4041,2103.21,0.0416458,-39.4854,2103.21,0.0408947,-39.4072,2103.21,0.0411105,-39.7119,2103.21,0.041573,-39.3569,2103.21,0.0412452,-39.721,2103.21,0.0415885,-39.4405
2303.53,0.0390506,-37.8719,2303.53,0.0391591,-37.9159,2303.53,0.0387836,-37.5123,2303.53,0.039686,-37.4819,2303.53,0.0395274,-37.5639,2303.53,0.0391281,-37.0584,2303.53,0.0391781,-37.4248,2303.53,0.0392938,-37.8046,2303.53,0.0394428,-37.853,2303.53,0.0391734,-37.8019,2303.53,0.0391924,-37.8097,2303.53,0.0394213,-38.1445,2303.53,0.0391817,-38.1718,2303.53,0.0394118,-37.8969,2303.53,0.0395155,-37.9709,2303.53,0.039221,-37.6549,2303.53,0.0397241,-37.9471
2503.85,0.0375986,-36.4942,2503.85,0.0372529,-36.0025,2503.85,0.0373209,-36.3666,2503.85,0.0376081,-36.1829,2503.85,0.0378239,-36.1159,2503.85,0.0374711,-36.2854,2503.85,0.0375462,-36.5361,2503.85,0.0375891,-36.5898,2503.85,0.0374532,-36.5017,2503.85,0.0373137,-36.4344,2503.85,0.0375319,-36.3328,2503.85,0.0377429,-36.0593,2503.85,0.0374711,-36.4182,2503.85,0.0375915,-36.3624,2503.85,0.0375664,-36.6038,2503.85,0.0376618,-37.1166,2503.85,0.0379789,-36.7046
2704.17,0.035826,-34.8138,2704.17,0.035708,-34.7104,2704.17,0.0356197,-34.7409,2704.17,0.0359023,-34.8469,2704.17,0.0361681,-34.9255,2704.17,0.0358009,-35.0166,2704.17,0.0359154,-35.4182,2704.17,0.0361276,-35.5648,2704.17,0.0359178,-34.9497,2704.17,0.0355732,-35.0536,2704.17,0.0356591,-35.0386,2704.17,0.0358284,-35.0894,2704.17,0.0358427,-35.3978,2704.17,0.0359917,-34.8393,2704.17,0.0359118,-35.6612,2704.17,0.0358152,-34.7989,2704.17,0.0364554,-35.1262
2904.49,0.0344992,-33.6324,2904.49,0.0346708,-33.5181,2904.49,0.0340009,-33.8521,2904.49,0.0349331,-33.9149,2904.49,0.0346172,-34.0337,2904.49,0.0344741,-33.6153,2904.49,0.0342739,-33.7561,2904.49,0.0345087,-33.9633,2904.49,0.0344157,-33.598,2904.49,0.0343359,-33.6744,2904.49,0.0343621,-33.9985,2904.49,0.0345623,-34.3223,2904.49,0.0343239,-34.1135,2904.49,0.0346303,-33.7301,2904.49,0.034591,-34.2857,2904.49,0.0344908,-33.6439,2904.49,0.0349939,-34.3188
3104.81,0.0331748,-32.2657,3104.81,0.0330997,-32.4903,3104.81,0.0331914,-32.3926,3104.81,0.0332975,-32.9804,3104.81,0.0333107,-32.6308,3104.81,0.0332868,-32.2273,3104.81,0.0330985,-32.4507,3104.81,0.0334775,-32.7902,3104.81,0.0330651,-32.3033,3104.81,0.0328648,-32.9302,3104.81,0.033344,-32.9871,3104.81,0.033313,-32.7919,3104.81,0.0330877,-32.6468,3104.81,0.0332046,-33.0622,3104.81,0.0334632,-32.6329,3104.81,0.0333154,-32.9916,3104.81,0.0336361,-33.4543
3305.13,0.0321567,-31.343,3305.13,0.0320971,-31.8271,3305.13,0.0321937,-31.4425,3305.13,0.0321686,-31.8767,3305.13,0.0323844,-31.7636,3305.13,0.0321627,-31.8976,3305.13,0.0321066,-31.9003,3305.13,0.0322187,-31.6923,3305.13,0.0320649,-31.6542,3305.13,0.0319493,-32.0053,3305.13,0.0319982,-31.3876,3305.13,0.0322723,-32.2695,3305.13,0.0319421,-31.7485,3305.13,0.0321496,-31.469,3305.13,0.032475,-31.695,3305.13,0.0322652,-31.817,3305.13,0.0325871,-32.1864
3505.45,0.03093,-30.354,3505.45,0.0310767,-30.3925,3505.45,0.0310338,-30.5324,3505.45,0.0313509,-30.8953,3505.45,0.0312662,-30.6736,3505.45,0.0311279,-30.4474,3505.45,0.0308216,-30.5345,3505.45,0.0312543,-30.5398,3505.45,0.0312448,-30.5645,3505.45,0.0305951,-30.6761,3505.45,0.0310349,-31.0818,3505.45,0.0312603,-30.7314,3505.45,0.0308716,-30.9066,3505.45,0.0310326,-30.4632,3505.45,0.0312734,-30.8699,3505.45,0.0311351,-30.9854,3505.45,0.0314677,-31.0627
3705.77,0.0300324,-29.2361,3705.77,0.0299835,-29.5185,3705.77,0.029943,-29.6507,3705.77,0.0303888,-29.7794,3705.77,0.0301552,-29.6544,3705.77,0.0302255,-29.9182,3705.77,0.0301051,-29.6759,3705.77,0.0301182,-29.6796,3705.77,0.0302017,-29.8407,3705.77,0.0298083,-29.7974,3705.77,0.0300586,-29.3674,3705.77,0.0300503,-30.2214,3705.77,0.0299048,-29.519,3705.77,0.030359,-30.2348,3705.77,0.0302958,-29.873,3705.77,0.0300586,-29.9368,3705.77,0.030303,-30.0818
3906.09,0.0290179,-28.6132,3906.09,0.0288725,-28.529,3906.09,0.0289524,-28.9896,3906.09,0.0293481,-28.7514,3906.09,0.0292015,-28.2487,3906.09,0.0292134,-29.0353,3906.09,0.0291681,-28.7279,3906.09,0.0292182,-28.5522,3906.09,0.0289845,-28.8251,3906.09,0.0290263,-28.5324,3906.09,0.0290346,-29.2119,3906.09,0.0290716,-29.2921,3906.09,0.0290442,-28.8829,3906.09,0.0292349,-28.7231,3906.09,0.0292373,-29.2484,3906.09,0.0291896,-29.0173,3906.09,0.0296676,-28.9585
4106.41,0.0281465,-27.8229,4106.41,0.028187,-27.8592,4106.41,0.028137,-28.1219,4106.41,0.028249,-28.0366,4106.41,0.0283408,-27.9509,4106.41,0.0282609,-28.214,4106.41,0.0279975,-27.6094,4106.41,0.0283098,-28.2752,4106.41,0.0281703,-28.2029,4106.41,0.0280786,-28.0531,4106.41,0.0282633,-27.8569,4106.41,0.028497,-28.3458,4106.41,0.0280464,-28.2024,4106.41,0.0284362,-28.0745,4106.41,0.0283563,-27.9814,4106.41,0.0282454,-28.0488,4106.41,0.0285995,-28.3791
4306.73,0.027523,-26.9326,4306.73,0.0275612,-26.8943,4306.73,0.0274694,-27.1779,4306.73,0.0275207,-27.3373,4306.73,0.0276053,-27.3183,4306.73,0.0273597,-27.2172,4306.73,0.027225,-27.8423,4306.73,0.0276113,-27.4326,4306.73,0.0274897,-27.5669,4306.73,0.0273991,-27.5063,4306.73,0.0274134,-27.1388,4306.73,0.027678,-27.6056,4306.73,0.0275946,-27.2263,4306.73,0.0275671,-27.6754,4306.73,0.0277734,-27.5855,4306.73,0.0275314,-27.2289,4306.73,0.0277233,-27.6006
4507.05,0.0267303,-25.8844,4507.05,0.0266135,-26.3784,4507.05,0.0264335,-26.0647,4507.05,0.0268412,-26.116,4507.05,0.0267744,-26.5263,4507.05,0.0267529,-26.0571,4507.05,0.0265622,-26.5282,4507.05,0.0268495,-26.2499,4507.05,0.0266182,-25.9784,4507.05,0.0264692,-26.4584,4507.05,0.0266659,-26.609,4507.05,0.0268602,-26.4431,4507.05,0.0266433,-26.7875,4507.05,0.0267398,-26.1625,4507.05,0.0268662,-27.0975,4507.05,0.0269258,-26.815,4507.05,0.0270307,-27.0184
4707.37,0.0261033,-25.6323,4707.37,0.025928,-25.4021,4707.37,0.0256789,-25.5974,4707.37,0.0260043,-25.2791,4707.37,0.026089,-25.3082,4707.37,0.0258756,-25.7046,4707.37,0.0259078,-25.4438,4707.37,0.0259709,-25.8036,4707.37,0.0258648,-25.7399,4707.37,0.0256479,-25.6417,4707.37,0.0259507,-26.1378,4707.37,0.0259829,-26.5458,4707.37,0.0259483,-25.926,4707.37,0.0260115,-26.1813,4707.37,0.0261652,-26.023,4707.37,0.0261188,-25.6634,4707.37,0.0263572,-25.793
4907.69,0.0253654,-24.6165,4907.69,0.0251496,-24.6032,4907.69,0.0251889,-24.5782,4907.69,0.0254977,-25.0797,4907.69,0.0253606,-24.7929,4907.69,0.0252783,-24.7032,4907.69,0.0251806,-25.0657,4907.69,0.0253391,-25.2642,4907.69,0.0254846,-25.3393,4907.69,0.0251651,-25.4028,4907.69,0.0251627,-25.0548,4907.69,0.0254273,-25.5056,4907.69,0.0252426,-25.2434,4907.69,0.0254261,-25.404,4907.69,0.0254619,-25.2344,4907.69,0.0255013,-25.4063,4907.69,0.0255668,-25.2845
5108.01,0.0245953,-23.5559,5108.01,0.024606,-24.2533,5108.01,0.024296,-24.054,5108.01,0.0247133,-24.3605,5108.01,0.0247991,-24.3681,5108.01,0.0246358,-24.5406,5108.01,0.0247455,-24.2467,5108.01,0.0246346,-24.6303,5108.01,0.0246227,-24.7717,5108.01,0.0246167,-24.5852,5108.01,0.024538,-24.1617,5108.01,0.0246763,-24.2588,5108.01,0.0245011,-24.9143,5108.01,0.0247133,-24.6068,5108.01,0.0248337,-24.3428,5108.01,0.0248969,-24.5709,5108.01,0.0249815,-25.3449
5308.33,0.0239515,-23.2856,5308.33,0.0240946,-23.5618,5308.33,0.0240541,-23.9302,5308.33,0.0241065,-23.7902,5308.33,0.0240922,-24.1103,5308.33,0.0239742,-23.4297,5308.33,0.0239456,-23.6224,5308.33,0.0241625,-23.8937,5308.33,0.0240326,-23.9354,5308.33,0.023911,-23.7739,5308.33,0.0240338,-23.7128,5308.33,0.0241888,-24.0682,5308.33,0.0242114,-24.0995,5308.33,0.0241053,-23.5976,5308.33,0.0243139,-24.3884,5308.33,0.0242686,-24.2133,5308.33,0.0243735,-23.7971
5508.65,0.023402,-22.3419,5508.65,0.0232732,-23.1322,5508.65,0.0234175,-22.5306,5508.65,0.0234544,-22.932,5508.65,0.0236487,-23.1299,5508.65,0.0234282,-23.0226,5508.65,0.0234282,-23.3287,5508.65,0.0235629,-23.4765,5508.65,0.0235951,-23.2528,5508.65,0.0233603,-22.8355,5508.65,0.0235522,-23.0687,5508.65,0.0235546,-22.7267,5508.65,0.0231993,-23.055,5508.65,0.0236046,-23.3216,5508.65,0.0236166,-23.3311,5508.65,0.0235391,-23.8197,5508.65,0.0236583,-23.7648
5708.97,0.0229466,-22.1058,5708.97,0.0228786,-22.525,5708.97,0.0228369,-22.3219,5708.97,0.0228918,-22.3457,5708.97,0.0231683,-22.6156,5708.97,0.022701,-22.4509,5708.97,0.0230038,-22.8616,5708.97,0.0229955,-23.0502,5708.97,0.0230777,-23.0163,5708.97,0.0228548,-22.7067,5708.97,0.0228989,-23.1457,5708.97,0.0229311,-22.87,5708.97,0.0230372,-23.5576,5708.97,0.0229478,-22.807,5708.97,0.0231111,-23.0826,5708.97,0.0229597,-23.1093,5708.97,0.0232232,-22.8609
5909.29,0.0222456,-21.8564,5909.29,0.0223184,-21.5995,5909.29,0.022254,-22.2376,5909.29,0.0222611,-21.8151,5909.29,0.0226057,-22.2562,5909.29,0.0225341,-21.8528,5909.29,0.0222611,-22.2501,5909.29,0.0225031,-22.0337,5909.29,0.0224793,-21.9029,5909.29,0.022248,-21.9567,5909.29,0.022409,-21.7119,5909.29,0.0224268,-22.0675,5909.29,0.0221777,-22.4267,5909.29,0.0225866,-22.6537,5909.29,0.0225699,-22.3874,5909.29,0.0224948,-22.4252,5909.29,0.0226021,-22.7067
6109.62,0.0219405,-20.6076,6109.62,0.0217164,-21.4495,6109.62,0.0217092,-21.6651,6109.62,0.0221527,-21.8751,6109.62,0.022006,-21.8257,6109.62,0.0219202,-21.6454,6109.62,0.0218272,-21.187,6109.62,0.0220275,-21.773,6109.62,0.0218546,-21.8802,6109.62,0.0218844,-21.9885,6109.62,0.0216544,-21.8963,6109.62,0.0219715,-22.1353,6109.62,0.0218654,-21.767,6109.62,0.0221825,-21.5897,6109.62,0.022018,-21.3951,6109.62,0.0220037,-21.9933,6109.62,0.0221252,-22.0949
6309.94,0.0213075,-20.3057,6309.94,0.0213563,-20.4418,6309.94,0.0213385,-21.5911,6309.94,0.0214338,-21.0896,6309.94,0.02177,-20.6967,6309.94,0.0213349,-21.3315,6309.94,0.0213933,-21.2892,6309.94,0.0214553,-21.2664,6309.94,0.0214124,-20.9512,6309.94,0.0213635,-21.1984,6309.94,0.0215292,-21.4145,6309.94,0.0216138,-21.1096,6309.94,0.0213921,-21.1986,6309.94,0.0213885,-21.3059,6309.94,0.0215983,-21.3543,6309.94,0.0216091,-21.2169,6309.94,0.0217021,-21.5639
6510.26,0.0210333,-20.3282,6510.26,0.020802,-20.4708,6510.26,0.0208747,-20.5261,6510.26,0.0210214,-20.8463,6510.26,0.0212765,-20.7581,6510.26,0.0209796,-20.4886,6510.26,0.0209081,-20.8253,6510.26,0.0209904,-20.8947,6510.26,0.0208986,-20.3322,6510.26,0.0208044,-20.7873,6510.26,0.0208569,-20.3237,6510.26,0.0212073,-20.703,6510.26,0.0210857,-21.1009,6510.26,0.0209475,-21.153,6510.26,0.021069,-20.7098,6510.26,0.0210667,-21.3389,6510.26,0.0211656,-21.4393
6710.58,0.0203955,-19.3337,6710.58,0.0205374,-19.8181,6710.58,0.0205195,-19.993,6710.58,0.0204277,-20.1491,6710.58,0.0205731,-20.534,6710.58,0.0205123,-20.0327,6710.58,0.0205016,-20.4089,6710.58,0.0205767,-20.4797,6710.58,0.0206745,-20.1472,6710.58,0.0203335,-20.2469,6710.58,0.0204706,-20.4205,6710.58,0.0205743,-20.275,6710.58,0.0204599,-20.3874,6710.58,0.0205839,-20.4083,6710.58,0.0209105,-20.3946,6710.58,0.0206411,-20.4016,6710.58,0.0208235,-21.3899
6910.9,0.0200987,-19.3214,6910.9,0.0201368,-19.8375,6910.9,0.0201404,-19.9279,6910.9,0.0202358,-19.8144,6910.9,0.0202346,-19.2617,6910.9,0.02033,-19.9981,6910.9,0.0201643,-20.3592,6910.9,0.0203466,-19.654,6910.9,0.0200939,-20.0157,6910.9,0.0198925,-19.8527,6910.9,0.0202191,-19.966,6910.9,0.0201976,-20.3615,6910.9,0.0201523,-20.3001,6910.9,0.0202107,-19.9495,6910.9,0.0204229,-19.9675,6910.9,0.0201893,-20.4773,6910.9,0.0205517,-20.3056
7111.22,0.0195777,-18.1459,7111.22,0.0197065,-19.0508,7111.22,0.0196373,-18.4153,7111.22,0.0198209,-19.2586,7111.22,0.0197065,-19.3285,7111.22,0.0197685,-19.5113,7111.22,0.0196266,-19.3965,7111.22,0.019896,-19.406,7111.22,0.0197065,-19.442,7111.22,0.0196314,-19.9562,7111.22,0.0197446,-19.6887,7111.22,0.0197852,-19.6905,7111.22,0.0196755,-19.6777,7111.22,0.0198817,-19.9607,7111.22,0.0198174,-19.7893,7111.22,0.0198233,-19.8041,7111.22,0.0201523,-19.9582
7311.54,0.0194514,-18.4399,7311.54,0.0192761,-18.3737,7311.54,0.0193107,-18.829,7311.54,0.0195003,-19.042,7311.54,0.0195527,-19.2713,7311.54,0.0192702,-19.3899,7311.54,0.0192225,-19.1178,7311.54,0.0192201,-19.067,7311.54,0.0193119,-19.1708,7311.54,0.019269,-19.2209,7311.54,0.0194073,-19.5575,7311.54,0.0193942,-19.733,7311.54,0.0194502,-19.0559,7311.54,0.0193655,-19.2146,7311.54,0.019443,-19.6805,7311.54,0.0194395,-19.3177,7311.54,0.0198436,-19.8421
7511.86,0.0189114,-18.0482,7511.86,0.018878,-18.9571,7511.86,0.0190568,-18.6717,7511.86,0.019213,-18.4831,7511.86,0.0191021,-18.8643,7511.86,0.0192571,-18.6148,7511.86,0.0190365,-18.8361,7511.86,0.0190926,-18.7451,7511.86,0.0190437,-19.0503,7511.86,0.0189137,-19.2453,7511.86,0.0189185,-19.3209,7511.86,0.0190699,-18.783,7511.86,0.0188291,-18.7382,7511.86,0.0190496,-18.8723,7511.86,0.0192797,-18.7339,7511.86,0.0189769,-19.0938,7511.86,0.0192547,-19.2599
7712.18,0.0186908,-17.336,7712.18,0.0186956,-18.3667,7712.18,0.0186419,-18.1873,7712.18,0.0187886,-18.576,7712.18,0.0187552,-18.2049,7712.18,0.0186038,-18.1449,7712.18,0.0186443,-18.4295,7712.18,0.0189626,-18.2632,7712.18,0.0185573,-18.1103,7712.18,0.0185132,-18.6019,7712.18,0.01863,-18.5809,7712.18,0.018723,-18.674,7712.18,0.0185096,-18.7615,7712.18,0.0187755,-18.1913,7712.18,0.0187671,-19.0968,7712.18,0.0188601,-19.0013,7712.18,0.0189817,-18.9231
